Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2008-09,26,HOU,NBA,SF,5.0,0.0,12.0,13.7,41.2,0.333,4.6,9.2,0.5,9.2,32.0,0.286,0.389,0.0,0.0,4.6,0.0,4.6,0.0,0.0,0.0,4.6,0.0,32.0,77.0,115.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,30,NYK,NBA,SF,4.0,0.0,9.0,12.3,24.6,0.5,0.0,12.3,0.0,12.3,12.3,1.0,0.5,0.0,0.0,6.2,6.2,12.3,0.0,0.0,0.0,0.0,6.2,24.6,112.0,104.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,9.0,0.0,21.0,13.1,34.1,0.385,2.6,10.5,0.25,10.5,23.6,0.444,0.423,0.0,0.0,5.3,2.6,7.9,0.0,0.0,0.0,2.6,2.6,28.9,87.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,5.0,0.0,12.0,13.7,41.2,0.333,4.6,9.2,0.5,9.2,32.0,0.286,0.389,0.0,0.0,4.6,0.0,4.6,0.0,0.0,0.0,4.6,0.0,32.0,77.0,115.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,4.0,0.0,9.0,12.3,24.6,0.5,0.0,12.3,0.0,12.3,12.3,1.0,0.5,0.0,0.0,6.2,6.2,12.3,0.0,0.0,0.0,0.0,6.2,24.6,112.0,104.0,
