"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
James White,,0.5,0.3,0.0
Anthony Jones,95.6,0.5,0.3,0.0
Chris Chiozza,95.4,0.5,0.3,0.0
Pete Myers,88.3,0.5,0.3,-0.1
Doug Lee,85.6,0.4,0.4,0.0
Alan Anderson,81.0,0.4,0.3,0.1
Jaden Springer,79.7,0.6,0.3,0.0
Lonnie Walker IV,78.1,0.4,0.3,0.0
Craig Ehlo,76.2,0.5,0.2,0.0
Jeenathan Williams,76.0,0.3,0.3,0.0
Jordan McRae,75.5,0.5,0.4,0.2
