Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2017-18,24,PHI,NBA,C,3,0,11,0,1,0.0,0,0,0,1,0.0,0.0,0,0,0,1,1,1,0,0,0,3,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,11,0,1,0.0,0,0,0,1,0.0,0.0,0,0,0,1,1,1,0,0,0,3,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,301,0,27,0.0,0,0,0,27,0.0,0.0,0,0,0,27,27,27,0,0,0,82,0,0,
