Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2017-18,24,PHI,NBA,C,3,0,11,0.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,0.0,0.0,0.0,13.4,0.0,56,112,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,11,0.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,0.0,0.0,0.0,13.4,0.0,56,112,
