"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Chris Singleton,,1.5,0.5,0.2,
Ron Riley,89.6,1.6,0.7,0.2,0.0
Chris McNealy,87.7,1.6,0.8,0.2,
Ish Wainright,85.9,1.7,0.6,0.0,
Mario Bennett,85.1,1.5,0.5,0.0,-0.1
Ron Bonham,83.7,1.8,0.7,0.2,
KornÃ©l DÃ¡vid,83.6,1.7,0.4,0.3,
T.J. Leaf,83.2,1.6,0.8,0.3,0.0
Jim Holstein,82.6,1.8,0.6,0.2,-0.1
Red Morrison,80.8,1.7,0.5,0.0,
Joe Holland,80.4,1.2,0.6,0.2,
