0
Active 1866 (15th)
Career 1866 (27th)
Career NBA 1866 (27th)
Career Playoffs 244 (21st)
Career NBA Playoffs 244 (21st)
Career (Reg+Playoffs) 2110 (26th)
Career NBA (Reg+Playoffs) 2110 (26th)
