0
2005-06 NBA 11.7 (5th)
2006-07 NBA 12.9 (5th)
2007-08 NBA 16.4 (1st)
2008-09 NBA 15.7 (1st)
2010-11 NBA 14.7 (4th)
2011-12 NBA 13.4 (4th)
2012-13 NBA 15.3 (1st)
2013-14 NBA 15.3 (1st)
2014-15 NBA 14.9 (1st)
2015-16 NBA 15.3 (2nd)
2016-17 NBA 14.6 (3rd)
2017-18 NBA 12.2 (4th)
2018-19 NBA 12.5 (2nd)
2019-20 NBA 10.4 (14th)
2020-21 NBA 14.0 (2nd)
2021-22 NBA 15.8 (1st)
2022-23 NBA 13.6 (4th)
2023-24 NBA 12.4 (5th)
2024-25 NBA 12.8 (4th)
Active 14.0 (1st)
Career 14.0 (3rd)
Career NBA 14.0 (3rd)
Career Playoffs 11.7 (16th)
Career NBA Playoffs 11.7 (16th)
