0
2005-06 NBA 611 (5th)
2006-07 NBA 569 (6th)
2007-08 NBA 925 (1st)
2008-09 NBA 861 (1st)
2009-10 NBA 480 (9th)
2010-11 NBA 782 (2nd)
2011-12 NBA 543 (3rd)
2012-13 NBA 678 (2nd)
2013-14 NBA 663 (4th)
2014-15 NBA 838 (1st)
2015-16 NBA 738 (4th)
2016-17 NBA 563 (7th)
2017-18 NBA 457 (13th)
2018-19 NBA 473 (13th)
2019-20 NBA 472 (9th)
2020-21 NBA 622 (2nd)
2021-22 NBA 702 (2nd)
2022-23 NBA 524 (9th)
2024-25 NBA 605 (6th)
Active 12528 (1st)
Career 12528 (2nd)
Career NBA 12528 (2nd)
Career Playoffs 1233 (5th)
Career NBA Playoffs 1233 (5th)
Career (Reg+Playoffs) 13761 (2nd)
Career NBA (Reg+Playoffs) 13761 (2nd)
