"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Robert Williams,,9.9,5.3,3.8,2.0,1.3,1.2,0.4
Marcus Camby,84.9,10.3,5.9,3.7,3.5,2.1,1.5,0.9
Mark West,83.7,8.2,5.5,3.1,1.9,1.1,0.9,-0.1
Robin Lopez,82.4,9.5,5.6,5.1,3.2,2.1,1.5,1.1
Danny Schayes,82.3,8.8,4.6,3.9,2.8,2.0,1.7,1.2
Jermaine O'Neal,80.7,10.5,6.4,6.4,2.1,1.2,0.8,0.8
Nic Claxton,79.2,9.2,6.7,4.3,3.5,1.9,0.5,
Jusuf NurkiÄ,78.0,7.8,4.7,2.4,2.0,1.6,0.9,0.4
Marvin Webster,76.8,8.7,3.9,3.2,2.8,2.7,1.3,0.2
Gheorghe MureÈan,76.3,8.0,5.3,4.1,1.3,0.3,-0.1,
Don Otten,75.4,8.5,5.8,4.9,1.7,,,
