"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Robert Williams,,9.9,5.3,3.8,2.0,1.3,1.2,0.4,,,,,,
Nic Claxton,79.2,9.2,6.7,4.3,3.5,1.9,0.5,,,,,,,
Gheorghe MureÈan,76.3,8.0,5.3,4.1,1.3,0.3,-0.1,,,,,,,
Don Otten,75.4,8.5,5.8,4.9,1.7,,,,,,,,,
Luke Kornet,74.6,7.0,5.1,3.3,1.4,1.1,0.7,0.5,0.4,,,,,
Mike Green,74.3,8.7,4.7,3.9,3.8,3.3,2.8,0.4,,,,,,
Stan Miasek,73.2,10.3,5.8,5.5,4.1,3.5,2.1,,,,,,,
Jalen Duren,72.4,9.2,4.8,4.5,,,,,,,,,,
Joel Przybilla,72.2,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0.0
Bob Rule,71.9,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0,,,,,
Tom Burleson,71.6,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,,,,,,
