"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
KJ Martin,,4.9,2.9,2.2,1.3,1.1,,,
De'Andre Hunter,88.6,4.4,2.5,2.2,1.7,1.1,0.1,,
Paul Reed,88.5,5.1,2.8,1.6,1.3,0.6,,,
Dave Budd,87.1,4.1,3.2,2.3,1.2,0.9,,,
Aaron James,84.7,4.3,2.9,2.2,2.1,1.7,,,
Linas Kleiza,84.4,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,
Jon Leuer,83.2,4.5,2.7,2.0,1.4,1.3,0.9,0.2,0.1
Rondae Hollis-Jefferson,83.1,4.1,3.4,2.6,1.2,1.2,0.3,,
Jonathan Kuminga,82.1,4.6,3.0,2.4,1.9,,,,
Marv Roberts,81.8,4.3,3.4,2.4,1.2,0.4,-0.2,,
Collis Jones,81.6,4.2,3.2,2.1,1.2,,,,
