"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Glen Davis,,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,
Kyle O'Quinn,92.6,4.8,3.9,2.5,1.6,1.6,1.4,1.1,1.0,,,
Andrea Bargnani,89.7,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,
Derek Strong,88.8,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0,
David Benoit,88.7,4.6,3.9,2.3,2.0,1.6,1.6,0.7,,,,
Tony Campbell,87.9,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
Donald Royal,86.3,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,
Justin Holiday,85.9,4.2,3.1,2.5,2.1,1.8,1.7,1.4,1.3,0.6,0.1,-0.1
Jeff Cook,85.4,4.5,3.7,2.4,2.3,2.2,2.0,0.6,0.1,,,
Michael Beasley,84.8,4.6,3.4,2.4,1.8,1.7,1.6,1.0,0.5,0.2,-0.1,-1.5
Stromile Swift,84.5,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1,,
