"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Danny Granger,,8.0,7.3,6.9,6.7,6.5,6.2,5.1,1.3,0.6,-0.1
Khris Middleton,91.6,7.9,6.9,6.7,6.4,6.1,6.1,5.3,2.7,1.6,0.9
Troy Murphy,91.2,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.4,1.3,0.3
Tobias Harris,88.4,7.1,7.1,6.8,6.7,6.6,6.2,4.8,4.1,2.4,0.9
Danilo Gallinari,88.3,8.2,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1.2,1.0
Michael Cage,87.2,7.6,7.2,6.8,6.7,6.7,6.2,4.9,4.3,3.2,1.7
Bob Netolicky,86.3,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,
Steve Mix,85.5,9.4,8.2,6.5,5.5,5.1,5.1,4.9,1.3,0.4,-0.3
Bob Love,85.4,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1.0,0.6,0.2
Cincy Powell,85.4,8.1,7.0,6.8,6.4,5.4,4.3,3.0,0.1,,
Wally Szczerbiak,85.2,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6
