PLAYER_ID,FIRST_NAME,LAST_NAME,cbb_url,Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
12135,Ceedric,Goodwyn,https://www.sports-reference.com/cbb/players/ceedric-goodwyn-1.html,1999-00,Colorado State,MWC,SR,F,30,29,27.5,6.6,12.8,0.513,1.2,2.9,0.42,5.3,9.9,0.541,0.561,3.4,4.9,0.699,1.0,3.6,4.5,2.5,0.8,1.2,3.4,3.1,17.8,
2109,Eddie,Gill,https://www.sports-reference.com/cbb/players/eddie-gill-1.html,1999-00,Weber State,Big Sky,SR,G,28,28,36.0,4.6,11.6,0.394,1.9,5.1,0.366,2.7,6.5,0.415,0.474,5.3,6.2,0.861,,,6.4,6.9,3.2,0.3,3.9,2.6,16.3,
2508,Gabe,Muoneke,https://www.sports-reference.com/cbb/players/gabe-muoneke-1.html,1999-00,Texas,Big 12,SR,F,33,25,28.7,5.1,9.6,0.527,0.2,1.2,0.211,4.8,8.5,0.57,0.539,3.4,5.6,0.6,2.3,4.1,6.3,1.9,0.9,0.6,2.9,2.8,13.7,
12134,Schea,Cotton,https://www.sports-reference.com/cbb/players/schea-cotton-1.html,1999-00,Alabama,SEC,SO,G,27,20,27.7,5.0,11.7,0.429,0.5,2.0,0.255,4.5,9.7,0.466,0.451,4.9,6.8,0.717,1.7,2.8,4.5,1.6,0.9,0.2,3.4,2.2,15.5,
12030,Jameel,Watkins,https://www.sports-reference.com/cbb/players/jameel-watkins-1.html,1999-00,Georgetown,Big East,SR,C,34,23,12.3,1.6,3.9,0.417,0.0,0.0,,1.6,3.9,0.417,0.417,0.9,1.7,0.492,1.4,1.9,3.3,0.2,0.4,1.1,1.3,1.5,4.1,
12029,Jaquay,Walls,https://www.sports-reference.com/cbb/players/jaquay-walls-1.html,1999-00,Colorado,Big 12,SR,G,32,32,30.8,5.2,11.8,0.441,1.8,4.6,0.388,3.4,7.3,0.474,0.516,4.8,6.3,0.754,0.7,2.4,3.2,4.5,1.5,0.2,2.6,2.7,17.0,
12028,Bootsy,Thornton,https://www.sports-reference.com/cbb/players/bootsy-thornton-1.html,1999-00,St. John's (NY),Big East,SR,G,33,33,35.3,6.1,12.5,0.486,1.7,4.7,0.355,4.4,7.8,0.564,0.552,1.4,2.5,0.573,2.1,3.3,5.5,2.9,2.4,0.3,1.9,2.2,15.3,
12027,Jarrett,Stephens,https://www.sports-reference.com/cbb/players/jarrett-stephens-1.html,1999-00,Penn State,Big Ten,SR,F,35,35.0,34.9,7.4,13.1,0.566,0.1,0.5,0.294,7.3,12.6,0.577,0.572,3.8,5.4,0.698,4.1,6.4,10.5,1.4,1.8,0.6,2.4,2.1,18.8,
12026,Nick,Sheppard,https://www.sports-reference.com/cbb/players/nick-sheppard-1.html,Pepperdine (2 Yrs),Pepperdine (2 Yrs),Pepperdine (2 Yrs),Pepperdine (2 Yrs),,66,34,22.4,3.1,5.5,.553,0.0,0.0,,3.1,5.5,.553,.553,1.3,2.3,.572,2.5,4.2,5.5,0.5,0.7,0.5,1.9,3.4,7.4,
12025,Karim,Shabazz,https://www.sports-reference.com/cbb/players/karim-shabazz-1.html,Providence (2 Yrs),Providence (2 Yrs),Providence (2 Yrs),Providence (2 Yrs),,49.0,49.0,27.2,3.5,7.1,0.493,0.0,0.0,,3.5,7.1,0.493,0.493,2.5,4.2,0.6,3.1,4.6,7.8,1.5,0.7,2.4,2.1,3.1,9.5,
