"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Dorell Wright,,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1
Kris Humphries,89.8,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.5,0.7,0.2,-0.3
Phil Jackson,89.6,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5
Gerald Govan,89.1,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1.0,0.1,,
Dorian Finney-Smith,88.8,6.6,4.9,4.4,3.3,2.9,2.6,2.1,1.4,0.1,,
Adam Keefe,87.9,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,,
Phil Hubbard,87.8,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,
Brandan Wright,87.7,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,
Al-Farouq Aminu,85.7,5.8,4.2,4.0,3.3,3.1,3.1,1.9,1.4,0.7,0.1,0.1
Markieff Morris,85.1,6.4,4.6,4.1,3.3,1.7,1.6,1.6,1.5,1.4,0.5,0.3
Aaron Williams,85.0,5.2,5.0,4.8,3.7,3.4,1.7,1.1,1.1,0.3,-0.1,-0.1
