"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Kyle Singler,,4.4,2.3,2.0,1.1,0.3,0.0,,,
Harold Pressley,87.7,4.8,2.3,2.2,0.7,,,,,
BoÅ¡tjan Nachbar,87.1,4.1,2.2,1.7,0.8,0.1,-0.1,,,
Collis Jones,86.4,4.2,3.2,2.1,1.2,,,,,
Brian Cook,85.5,4.5,2.0,1.8,1.1,0.6,0.4,0.0,-0.1,-0.2
Anthony Bonner,85.2,4.1,2.4,1.8,1.6,0.7,0.0,,,
Carl Herrera,84.4,4.6,2.1,2.0,0.5,0.1,0.1,-0.2,-0.3,
Tony Jaros,83.8,4.4,2.2,1.3,0.6,,,,,
De'Andre Hunter,83.5,4.4,2.5,2.2,1.7,1.1,0.1,,,
Frank Card,83.0,4.2,2.6,2.4,1.9,0.1,,,,
Marv Roberts,82.8,4.3,3.4,2.4,1.2,0.4,-0.2,,,
