"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('Unnamed: 19_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 24_level_0', 'Awards')"
2022-23,24,NYK,NBA,C,11,11,298,0.604,0.9,1.0,0.979,0.021,0.0,0.0,0.0,0.604,0.617,0.0,0.552,0.479,20,0,0,
2023-24,25,NYK,NBA,C,6,0,115,0.5,0.9,1.0,0.929,0.071,0.0,0.0,0.0,0.5,0.538,0.0,0.571,0.357,5,0,0,
2024-25,26,NYK,NBA,C,18,4,370,0.608,1.3,1.0,0.902,0.098,0.0,0.0,0.0,0.608,0.63,0.4,0.484,0.471,21,0,0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,35,15,783,0.593,1.0,1.0,0.938,0.062,0.0,0.0,0.0,0.593,0.613,0.286,0.522,0.46,46,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,35,1834,0.593,1.0,1.0,0.938,0.062,0.0,0.0,0.0,0.593,0.613,0.286,0.522,0.46,108,0,0,
