"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Nenad KrstiÄ,,5.4,4.4,4.2,4.0,1.9,1.7,-0.1,,,
Tim McCormick,89.9,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1,,
Lloyd Neal,89.7,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,,,
Blair Rasmussen,86.8,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1,,
Thomas Bryant,84.4,5.6,4.1,3.9,3.1,1.6,1.1,1.0,0.1,,
Randy Denton,83.4,5.5,4.3,3.9,3.1,3.0,0.4,,,,
Kevin Kunnert,82.9,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,
Jack Nichols,82.9,6.7,4.4,4.3,4.1,2.5,1.6,1.0,0.3,-1.0,
Sam Bowie,81.4,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1
Daniel Theis,81.1,6.5,4.3,3.5,3.5,2.5,1.9,1.0,0.1,,
Dewayne Dedmon,80.7,5.2,4.0,3.7,3.5,2.4,1.7,1.1,1.0,0.6,0.1
