Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2004-05,21,NJN,NBA,PF,4.0,4.0,154.0,9.2,16.4,0.563,0.0,0.0,9.2,16.4,0.563,0.563,6.5,8.2,0.792,3.4,6.8,10.2,2.4,0.3,0.7,2.0,6.8,24.9,123.0,115.0,
2005-06,22,NJN,NBA,PF,11.0,11.0,366.0,9.6,19.1,0.504,0.0,0.0,9.6,19.1,0.504,0.504,4.7,6.7,0.711,3.7,7.4,11.1,1.2,0.7,1.5,3.3,6.8,24.0,103.0,108.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,26,OKC,NBA,C,6.0,6.0,129.0,6.2,15.2,0.405,0.0,0.0,6.2,15.2,0.405,0.405,5.3,5.7,0.929,6.2,8.2,14.4,1.6,1.2,1.6,2.1,6.2,17.7,110.0,105.0,
2010-11,27,BOS,NBA,C,7.0,0.0,56.0,4.8,7.7,0.625,0.0,0.0,4.8,7.7,0.625,0.625,1.9,2.9,0.667,4.8,6.7,11.5,1.9,0.0,3.8,2.9,7.7,11.5,114.0,104.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,28.0,21.0,705.0,8.5,16.9,0.505,0.0,0.0,8.5,16.9,0.505,0.505,5.0,6.5,0.767,4.2,7.4,11.6,1.6,0.7,1.5,2.7,6.8,22.1,109.0,109.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),,15.0,15.0,520.0,9.5,18.3,0.52,0.0,0.0,9.5,18.3,0.52,0.52,5.3,7.1,0.739,3.6,7.2,10.9,1.6,0.6,1.2,2.9,6.8,24.3,108.0,110.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,7.0,0.0,56.0,4.8,7.7,0.625,0.0,0.0,4.8,7.7,0.625,0.625,1.9,2.9,0.667,4.8,6.7,11.5,1.9,0.0,3.8,2.9,7.7,11.5,114.0,104.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,6.0,6.0,129.0,6.2,15.2,0.405,0.0,0.0,6.2,15.2,0.405,0.405,5.3,5.7,0.929,6.2,8.2,14.4,1.6,1.2,1.6,2.1,6.2,17.7,110.0,105.0,
