"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2004-05,21,NJN,NBA,PF,4.0,4.0,154.0,0.563,0.563,0.563,0.792,0.623,0.5,0.0,126.0,120.0,117.0,105.0,118.0,154.0,0.0,
2005-06,22,NJN,NBA,PF,11.0,11.0,366.0,0.504,0.504,0.504,0.711,0.544,0.349,0.0,111.0,105.0,103.0,95.0,102.0,105.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2009-10,26,OKC,NBA,C,6.0,6.0,129.0,0.405,0.405,0.405,0.929,0.498,0.378,0.0,88.0,82.0,81.0,122.0,92.0,126.0,0.0,
2010-11,27,BOS,NBA,C,7.0,0.0,56.0,0.625,0.625,0.625,0.667,0.644,0.375,0.0,136.0,128.0,125.0,87.0,119.0,125.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,28.0,21.0,705.0,0.505,0.505,0.505,0.767,0.558,0.387,0.0,111.0,106.0,103.0,102.0,104.0,120.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),,15.0,15.0,520.0,0.52,0.52,0.52,0.739,0.567,0.39,0.0,115.0,109.0,107.0,99.0,106.0,118.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,7.0,0.0,56.0,0.625,0.625,0.625,0.667,0.644,0.375,0.0,136.0,128.0,125.0,87.0,119.0,125.0,0.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,6.0,6.0,129.0,0.405,0.405,0.405,0.929,0.498,0.378,0.0,88.0,82.0,81.0,122.0,92.0,126.0,0.0,
