Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2004-05,21,NJN,NBA,PF,4.0,4.0,154.0,6.3,11.2,0.563,0.0,0.0,6.3,11.2,0.563,0.563,4.4,5.6,0.792,2.3,4.7,7.0,1.6,0.2,0.5,1.4,4.7,17.1,
2005-06,22,NJN,NBA,PF,11.0,11.0,366.0,6.4,12.7,0.504,0.0,0.0,6.4,12.7,0.504,0.504,3.1,4.4,0.711,2.5,4.9,7.4,0.8,0.5,1.0,2.2,4.5,15.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,26,OKC,NBA,C,6.0,6.0,129.0,4.2,10.3,0.405,0.0,0.0,4.2,10.3,0.405,0.405,3.6,3.9,0.929,4.2,5.6,9.8,1.1,0.8,1.1,1.4,4.2,12.0,
2010-11,27,BOS,NBA,C,7.0,0.0,56.0,3.2,5.1,0.625,0.0,0.0,3.2,5.1,0.625,0.625,1.3,1.9,0.667,3.2,4.5,7.7,1.3,0.0,2.6,1.9,5.1,7.7,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,28.0,21.0,705.0,5.7,11.3,0.505,0.0,0.0,5.7,11.3,0.505,0.505,3.4,4.4,0.767,2.8,5.0,7.8,1.1,0.5,1.0,1.8,4.5,14.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),,15.0,15.0,520.0,6.4,12.3,0.52,0.0,0.0,6.4,12.3,0.52,0.52,3.5,4.8,0.739,2.4,4.8,7.3,1.0,0.4,0.8,1.9,4.6,16.3,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,7.0,0.0,56.0,3.2,5.1,0.625,0.0,0.0,3.2,5.1,0.625,0.625,1.3,1.9,0.667,3.2,4.5,7.7,1.3,0.0,2.6,1.9,5.1,7.7,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,6.0,6.0,129.0,4.2,10.3,0.405,0.0,0.0,4.2,10.3,0.405,0.405,3.6,3.9,0.929,4.2,5.6,9.8,1.1,0.8,1.1,1.4,4.2,12.0,
