"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Darius Miles,,3.6,3.4,3.0,1.3,0.5,-1.0,-1.3
Dwight Davis,72.2,3.7,3.3,2.3,1.5,0.6,,
Stew Johnson,71.8,4.3,3.6,2.7,1.8,-0.3,-0.4,-1.5
Don Collins,71.5,3.5,3.4,2.6,0.9,0.0,0.0,
Jason Caffey,70.5,3.9,3.5,2.7,1.6,0.5,0.4,0.3
Marv Roberts,70.2,4.3,3.4,2.4,1.2,0.4,-0.2,
Tom Abernethy,70.1,4.1,3.7,3.1,2.0,0.4,,
Andray Blatche,70.0,3.4,3.0,2.4,1.4,0.5,0.1,-0.1
Duane Ferrell,67.3,3.5,3.2,2.8,1.9,1.2,0.4,-0.1
Dave Budd,67.2,4.1,3.2,2.3,1.2,0.9,,
Rondae Hollis-Jefferson,66.9,4.1,3.4,2.6,1.2,1.2,0.3,
