"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Josh Howard,,8.8,8.0,6.7,6.4,3.5,3.2,1.0,0.5,0.0,-0.2,
John Beasley,90.6,8.9,8.1,8.0,6.8,3.3,2.0,0.8,,,,
Otto Porter Jr.,87.2,9.4,8.1,5.6,4.9,3.2,2.7,1.3,0.8,0.4,0.3,0.0
Trooper Washington,86.5,8.3,6.9,6.3,6.0,3.4,2.2,,,,,
Chris Mills,86.4,8.9,7.8,5.4,5.1,4.0,3.0,1.9,1.2,0.3,0.1,
Mikal Bridges,85.7,8.9,8.0,7.5,5.7,4.8,4.2,2.9,,,,
Montrezl Harrell,85.0,8.7,7.3,7.3,7.0,5.5,4.1,2.2,0.9,,,
Jamal Mashburn,84.2,9.0,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2
Jim McMillian,83.5,8.9,7.9,7.8,6.4,6.0,3.4,2.6,2.5,0.5,,
Kermit Washington,82.9,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1,
Charles Smith,82.6,9.4,7.4,6.6,4.8,4.4,4.0,2.4,1.9,0.0,,
