"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Brandon Jennings,,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1,,,
Terry Rozier,90.1,5.9,5.6,5.2,3.9,3.2,3.0,1.7,1.4,1.0,-0.3,,
Bill Keller,89.4,6.1,5.4,4.4,4.1,4.0,3.6,2.7,,,,,
Jim Barnett,89.2,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0.0,
Ricky Davis,88.9,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Odie Spears,88.6,5.6,5.2,4.7,3.8,3.3,3.1,2.0,0.2,,,,
Pooh Richardson,88.5,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2,-0.1,,
Foots Walker,88.5,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,
Allen Leavell,88.2,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1,,
Bonzi Wells,87.6,6.0,5.9,4.0,3.4,3.1,3.1,3.0,0.9,0.1,-0.1,,
Malcolm Brogdon,87.3,6.5,5.8,4.2,4.1,4.0,2.7,2.7,2.6,0.7,,,
