"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Jonas Jerebko,,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2.0,1.4
Lorenzen Wright,91.9,5.2,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4
Ollie Johnson,89.9,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2.0,1.3
Trevor Ariza,88.3,6.1,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9
Allan Bristow,87.6,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5
Dante Cunningham,86.9,3.5,3.4,3.0,2.9,2.4,2.1,2.0,1.9,1.6
Dwight Jones,86.8,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3
Tom McMillen,86.8,3.9,3.7,2.9,2.9,2.5,2.4,2.2,2.0,0.8
Tim Thomas,86.5,5.5,4.1,3.8,3.4,2.9,2.2,2.2,2.2,0.9
John Tresvant,86.0,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1
Trevor Booker,84.8,4.3,4.3,3.6,3.1,3.0,2.9,2.6,2.3,
