Season,Team,Lg,Salary
2003-04,Boston Celtics,NBA,"$814,320"
2004-05,Boston Celtics,NBA,"$875,400"
2005-06,Boston Celtics,NBA,"$936,480"
2006-07,Boston Celtics,NBA,"$1,689,409"
2007-08,Boston Celtics,NBA,"$4,480,912"
2008-09,Boston Celtics,NBA,"$4,578,880"
2009-10,Boston Celtics,NBA,"$4,250,000"
2010-11,Oklahoma City Thunder,NBA,"$4,640,208"
2011-12,Oklahoma City Thunder,NBA,"$7,123,626"
2012-13,Oklahoma City Thunder,NBA,"$7,800,531"
2013-14,Oklahoma City Thunder,NBA,"$8,477,437"
2014-15,Utah Jazz,NBA,"$9,654,342"
2014-15,Cleveland Cavaliers,NBA,"$434,547"
2015-16,New Orleans Pelicans,NBA,"$1,499,200"
2017-18,Cleveland Cavaliers,NBA,"$13,156"
Career,(may be incomplete),,"$57,268,448"
