"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Bruce Brown,,4.8,4.4,4.3,2.2,2.1,1.5,0.7
John Roche,92.1,4.8,4.2,4.1,2.5,2.3,0.8,0.5
Matt Guokas,91.8,5.2,4.7,4.2,2.5,2.3,1.2,0.5
Bob Warren,91.4,4.9,4.8,4.0,2.3,1.6,1.6,0.9
Bill Hanzlik,90.6,4.7,4.1,3.5,2.4,2.2,1.9,1.0
Henry Bibby,89.0,4.7,4.1,3.7,2.9,2.3,1.5,1.0
Tom Henderson,88.8,4.7,4.5,3.1,2.4,2.1,1.5,1.3
Tim Hardaway Jr.,88.6,4.8,4.4,3.1,2.6,1.9,1.8,0.8
Ernie Grunfeld,87.9,4.3,4.3,3.5,2.5,2.2,1.6,1.4
Jason Williams,87.3,5.4,4.7,4.3,3.8,2.1,1.5,0.9
Jerry Sichting,87.1,5.2,4.2,3.5,2.7,2.3,1.1,0.3
