Season,Team,Lg,Salary
2011-12,San Antonio Spurs,NBA,"$1,731,960"
2012-13,San Antonio Spurs,NBA,"$1,861,920"
2013-14,San Antonio Spurs,NBA,"$1,887,840"
2014-15,San Antonio Spurs,NBA,"$2,894,059"
2015-16,San Antonio Spurs,NBA,"$16,500,000"
2016-17,San Antonio Spurs,NBA,"$17,638,063"
2017-18,San Antonio Spurs,NBA,"$18,868,625"
2018-19,Toronto Raptors,NBA,"$23,114,067"
2019-20,Los Angeles Clippers,NBA,"$32,742,000"
2020-21,Los Angeles Clippers,NBA,"$34,379,100"
2021-22,Los Angeles Clippers,NBA,"$39,344,900"
2022-23,Los Angeles Clippers,NBA,"$42,492,492"
2023-24,Los Angeles Clippers,NBA,"$45,640,084"
2024-25,Los Angeles Clippers,NBA,"$49,205,800"
Career,(may be incomplete),,"$328,300,910"
