Season,Age,Team,Lg,Pos,G,GS,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2009-10,27,POR,NBA,PG,2,0,7,10.3,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.061,1.5,-0.9,0.7,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,7,10.3,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.061,1.5,-0.9,0.7,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,287,10.3,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.7,-0.3,0.4,0.061,1.5,-0.9,0.7,0.2,
