"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
James Anderson,,1.9,0.9,0.5,0.3,-0.3
Doug Overton,85.6,1.7,0.9,0.6,0.2,-0.4
Kevin McKenna,80.5,1.7,0.9,0.7,0.6,-0.3
Emanual Davis,78.4,1.8,0.5,0.3,0.3,-0.3
Kris Dunn,77.9,2.3,0.9,0.6,0.1,-0.2
Felipe LÃ³pez,77.8,1.9,0.5,0.4,0.3,
Svi Mykhailiuk,76.6,1.6,0.8,0.8,0.3,-0.1
Lonnie Walker IV,76.4,1.8,1.2,0.4,0.3,0.0
Chris Carr,76.0,1.7,1.1,0.3,0.2,-0.3
John Jenkins,74.3,1.7,0.9,0.2,0.0,-0.1
Mo Layton,74.0,1.9,1.1,1.0,0.3,0.1
