"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2002-03,19.0,WASHINGTON,27,514,48,119,4,20,53,69,43,111,28,21,12,23,100,153,0.403,0.2,0.768,19.0,5.7,4.1,1.0
2003-04,20.0,WASHINGTON,31,760,130,228,1,8,87,131,60,153,25,37,17,34,117,348,0.57,0.125,0.664,24.5,11.2,4.9,0.8
2004-05,21.0,WASHINGTON,34,865,133,261,31,61,85,125,84,190,57,36,13,45,118,382,0.51,0.508,0.68,25.4,11.2,5.6,1.7
2005-06,22.0,WASHINGTON,33,874,113,239,29,88,88,118,69,163,43,40,17,66,104,343,0.473,0.33,0.746,26.5,10.4,4.9,1.3
Career,,,125,3013,424,847,65,177,313,443,256,617,153,134,59,168,439,1226,0.501,0.367,0.707,24.1,9.8,4.9,1.2
