Season,Team,Lg,Salary
2003-04,Atlanta Hawks,NBA,"$1,021,080"
2004-05,Atlanta Hawks,NBA,"$1,097,640"
2005-06,Phoenix Suns,NBA,"$1,174,200"
2006-07,Phoenix Suns,NBA,"$1,870,501"
2007-08,Phoenix Suns,NBA,"$9,000,000"
2008-09,Charlotte Bobcats,NBA,"$9,000,000"
2009-10,Charlotte Bobcats,NBA,"$9,000,000"
2010-11,Charlotte Bobcats,NBA,"$9,000,000"
2011-12,Charlotte Bobcats,NBA,"$9,000,000"
2012-13,San Antonio Spurs,NBA,"$4,500,000"
2013-14,San Antonio Spurs,NBA,"$4,702,500"
2014-15,San Antonio Spurs,NBA,"$7,500,000"
2015-16,San Antonio Spurs,NBA,"$7,000,000"
2016-17,Utah Jazz,NBA,"$7,000,000"
Career,(may be incomplete),,"$80,865,921"
