"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')","('Win Shares (Best to Worst)', '20')"
Boris Diaw,,8.9,6.2,4.9,4.8,4.7,4.6,4.4,3.8,3.6,3.0,1.1,0.8,0.6,0.1,,,,,,
Orlando Woolridge,91.0,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,,,,,,,
Mike Dunleavy,89.6,8.5,6.5,5.2,5.1,4.9,4.5,4.4,4.4,4.2,4.1,2.3,1.5,1.5,0.9,0.5,,,,,
James Posey,89.4,10.0,6.2,5.4,5.2,4.3,4.2,4.2,3.8,2.7,2.4,2.3,1.0,,,,,,,,
Clarence Weatherspoon,88.0,8.6,6.0,5.8,5.5,5.1,5.0,4.5,4.0,3.6,3.5,3.3,2.6,1.1,,,,,,,
Jeff Foster,87.3,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4,,,,,,,
Amir Johnson,87.3,7.3,6.3,5.9,5.6,5.1,5.0,4.5,4.1,4.0,3.0,2.7,1.1,0.5,0.2,,,,,,
Ersan Ä°lyasova,87.0,6.7,6.4,5.8,4.4,4.1,4.0,4.0,3.8,3.6,3.0,1.6,1.0,0.4,,,,,,,
Josh Smith,86.7,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0.0,0.0,,,,,,,
Kenyon Martin,85.8,7.1,6.7,5.3,5.0,4.9,4.0,3.8,3.3,2.7,2.1,1.2,1.2,0.9,0.2,0.0,,,,,
Udonis Haslem,85.4,9.2,7.0,6.0,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4,0.2,0.1,0.0,0.0,0.0,-0.1,-0.1
