"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Gorgui Dieng,,5.9,5.7,4.9,2.9,2.9,2.8,2.2,2.1,1.2,0.0,,,,
Connie Simmons,89.3,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.3,0.1,,,,
Richaun Holmes,86.2,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8,,,,
Kent Benson,86.1,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0,,,
Andrew Lang,85.5,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,,
Roy Hibbert,85.0,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8,,,,,
Matt Geiger,84.1,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,,,,
Cody Zeller,84.0,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.8,0.7,,,
Greg Ostertag,83.4,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,,
Jusuf NurkiÄ,83.1,7.8,5.8,4.7,3.6,2.7,2.4,2.0,1.6,1.5,0.9,0.4,,,
Kendrick Perkins,83.1,6.2,5.6,5.2,2.5,2.3,2.0,1.4,1.0,0.8,0.7,0.1,0.1,0.0,-0.1
