"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Justin Anderson,,1.9,1.2,1.1,0.4,0.4,-0.1
Lonnie Walker IV,86.5,1.8,1.2,0.8,0.4,0.3,0.0
Mo Layton,85.4,1.9,1.1,1.0,0.3,0.1,
Anthony Johnson,83.8,1.8,1.1,0.7,0.4,0.3,-0.2
Donnie Butcher,82.7,1.9,1.2,1.1,0.5,-0.3,
Todd Lichti,82.4,1.8,1.3,1.2,1.0,0.2,
Keyon Dooling,82.2,1.5,1.4,1.1,0.3,0.3,0.0
Slick Leonard,80.9,1.5,1.3,1.2,0.4,0.1,-0.1
Steve Kramer,80.8,1.9,1.2,1.1,,,
A.J. Price,79.4,2.2,1.2,0.7,0.3,0.3,0.0
Troy Daniels,79.0,1.4,1.3,1.1,0.3,0.2,0.2
