"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jeremy Sochan,,2.7,1.4,0.2,,
Jim Bradley,87.2,2.3,1.3,0.1,,
Isaiah Roby,86.8,2.9,1.3,0.0,-0.1,
Jordan Bell,85.8,2.9,1.6,0.4,0.0,0.0
Justin Champagnie,82.1,2.8,0.8,0.3,0.0,
Jake LaRavia,82.0,2.9,1.0,0.5,,
Jabari Walker,81.6,2.9,2.0,0.2,,
Julian Champagnie,79.9,2.5,1.8,0.4,,
Jim Palmer,78.8,2.4,1.9,0.2,,
Jeff Adrien,78.3,2.7,1.0,0.4,0.2,0.1
Dennis Hamilton,76.9,2.8,0.7,0.5,0.0,
