"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Ronald Murray,,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3
Mike Evans,84.3,2.9,1.9,1.6,1.1,0.9,0.1,-0.1,-0.2
Rick Adelman,82.3,3.4,2.2,1.6,1.3,0.7,0.7,0.1,
Jevon Carter,82.2,3.5,1.8,1.6,1.2,0.3,0.2,0.0,
Al Ferrari,81.7,3.3,1.9,1.4,1.4,0.9,0.0,,
Quinton Ross,80.9,3.2,1.7,1.6,0.7,0.6,0.0,-0.1,
Bucky Bockhorn,80.3,3.1,1.5,1.3,1.1,0.5,0.3,0.1,
Al Bianchi,80.0,2.4,1.9,1.8,1.5,0.8,0.8,-0.1,-0.4
Cameron Payne,79.9,3.6,1.9,1.4,1.1,0.8,0.5,0.5,-0.3
Greg Minor,79.0,3.0,2.1,1.7,0.8,0.6,,,
Shabazz Napier,78.3,3.2,2.0,1.7,0.6,0.5,0.1,,
