Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2013-14,21,CHA,NBA,C,3.0,1.0,16.0,1.0,1.7,0.6,0.0,0.0,1.0,1.7,0.6,0.6,0.7,2.0,0.333,1.7,2.0,3.7,0.3,0.0,0.7,0.0,1.3,2.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,TOR,NBA,C,20.0,10.0,25.3,2.0,3.5,0.58,0.0,0.0,2.0,3.5,0.58,0.58,2.2,3.6,0.597,2.7,6.7,9.4,0.4,0.4,1.4,1.1,2.4,6.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,29,PHO,NBA,C,9.0,0.0,9.6,1.2,1.9,0.647,0.0,0.0,1.2,1.9,0.647,0.647,0.3,0.7,0.5,0.9,1.2,2.1,0.6,0.1,0.2,0.7,1.4,2.8,
2022-23,30,PHO,NBA,C,8.0,0.0,9.8,1.1,2.0,0.563,0.0,0.0,1.1,2.0,0.563,0.563,1.1,2.3,0.5,1.3,2.1,3.4,0.8,0.0,1.3,0.8,2.3,3.4,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,40.0,11.0,18.0,1.6,2.7,0.589,0.0,0.0,1.6,2.7,0.589,0.589,1.4,2.6,0.559,1.9,4.2,6.1,0.5,0.2,1.0,0.8,2.1,4.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,17.0,0.0,9.6,1.2,1.9,0.606,0.0,0.0,1.2,1.9,0.606,0.606,0.7,1.4,0.5,1.1,1.6,2.7,0.6,0.1,0.7,0.7,1.8,3.1,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,20.0,10.0,25.3,2.0,3.5,0.58,0.0,0.0,2.0,3.5,0.58,0.58,2.2,3.6,0.597,2.7,6.7,9.4,0.4,0.4,1.4,1.1,2.4,6.2,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,3.0,1.0,16.0,1.0,1.7,0.6,0.0,0.0,1.0,1.7,0.6,0.6,0.7,2.0,0.333,1.7,2.0,3.7,0.3,0.0,0.7,0.0,1.3,2.7,
