"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2013-14,21,CHA,NBA,EC1,MIA,L (0-4),3.0,16.0,2.7,3.7,0.3,0.0,0.7,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,2.0,6.0,0.333,5.0,6.0,11.0,1.0,0.0,2.0,0.0,4.0,8.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,TOR,NBA,EC1,IND,W (4-3),7.0,19.6,5.4,9.4,0.3,0.3,0.9,11.0,21.0,0.524,0.0,0.0,11.0,21.0,0.524,0.524,16.0,27.0,0.593,22.0,44.0,66.0,2.0,2.0,6.0,7.0,15.0,38.0,
2015-16,23,TOR,NBA,ECS,MIA,W (4-3),7.0,25.9,6.7,8.4,0.6,0.4,1.4,15.0,23.0,0.652,0.0,0.0,15.0,23.0,0.652,0.652,17.0,29.0,0.586,16.0,43.0,59.0,4.0,3.0,10.0,9.0,16.0,47.0,
2015-16,23,TOR,NBA,ECF,CLE,L (2-4),6.0,31.3,6.3,10.3,0.3,0.5,1.8,14.0,25.0,0.56,0.0,0.0,14.0,25.0,0.56,0.56,10.0,16.0,0.625,15.0,47.0,62.0,2.0,3.0,11.0,5.0,17.0,38.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,29,PHO,NBA,WC1,NOP,W (4-2),4.0,3.8,0.5,1.0,0.5,0.0,0.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,0.0,5.0,6.0,2.0,
2021-22,29,PHO,NBA,WCS,DAL,L (3-4),5.0,14.2,4.6,3.0,0.6,0.2,0.4,10.0,14.0,0.714,0.0,0.0,10.0,14.0,0.714,0.714,3.0,6.0,0.5,6.0,9.0,15.0,3.0,1.0,2.0,1.0,7.0,23.0,
2022-23,30,PHO,NBA,WC1,LAC,W (4-1),5.0,11.0,4.6,4.2,1.2,0.0,1.8,7.0,12.0,0.583,0.0,0.0,7.0,12.0,0.583,0.583,9.0,16.0,0.563,9.0,12.0,21.0,6.0,0.0,9.0,4.0,11.0,23.0,
2022-23,30,PHO,NBA,WCS,DEN,L (2-4),3.0,8.0,1.3,2.0,0.0,0.0,0.3,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,0.0,2.0,0.0,1.0,5.0,6.0,0.0,0.0,1.0,2.0,7.0,4.0,
4 Yrs (8 Series),4 Yrs (8 Series),4 Yrs (8 Series),4 Yrs (8 Series),4 Yrs (8 Series),4 Yrs (8 Series),4-4,40.0,18.0,4.6,6.1,0.5,0.2,1.0,63.0,107.0,0.589,0.0,0.0,63.0,107.0,0.589,0.589,57.0,102.0,0.559,76.0,168.0,244.0,20.0,9.0,41.0,33.0,83.0,183.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),2-0,9.0,7.8,2.8,2.8,0.9,0.0,1.0,8.0,15.0,0.533,0.0,0.0,8.0,15.0,0.533,0.533,9.0,16.0,0.563,11.0,14.0,25.0,8.0,0.0,9.0,9.0,17.0,25.0,
EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),1-1,10.0,18.5,4.6,7.7,0.3,0.2,0.8,14.0,26.0,0.538,0.0,0.0,14.0,26.0,0.538,0.538,18.0,33.0,0.545,27.0,50.0,77.0,3.0,2.0,8.0,7.0,19.0,46.0,
WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),0-2,8.0,11.9,3.4,2.6,0.4,0.1,0.4,12.0,18.0,0.667,0.0,0.0,12.0,18.0,0.667,0.667,3.0,8.0,0.375,7.0,14.0,21.0,3.0,1.0,3.0,3.0,14.0,27.0,
ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),1-0,7.0,25.9,6.7,8.4,0.6,0.4,1.4,15.0,23.0,0.652,0.0,0.0,15.0,23.0,0.652,0.652,17.0,29.0,0.586,16.0,43.0,59.0,4.0,3.0,10.0,9.0,16.0,47.0,
ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),0-1,6.0,31.3,6.3,10.3,0.3,0.5,1.8,14.0,25.0,0.56,0.0,0.0,14.0,25.0,0.56,0.56,10.0,16.0,0.625,15.0,47.0,62.0,2.0,3.0,11.0,5.0,17.0,38.0,
