"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2010-11,23,IND,NBA,PG,5.0,5.0,146.0,0.391,0.35,0.667,0.435,0.636,0.462,0.239,0.13,85.0,72.0,186.0,87.0,83.0,85.0,80.0,59.0,
2011-12,24,IND,NBA,PG,11.0,0.0,205.0,0.514,0.542,0.364,0.543,0.87,0.599,0.329,0.157,115.0,114.0,104.0,111.0,116.0,114.0,119.0,70.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,26,LAC,NBA,PG,13.0,0.0,249.0,0.389,0.436,0.083,0.394,0.867,0.501,0.5,0.133,86.0,89.0,23.0,79.0,115.0,93.0,176.0,51.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,30,IND,NBA,PG,7.0,7.0,214.0,0.456,0.511,0.348,0.515,0.75,0.539,0.176,0.338,99.0,100.0,96.0,99.0,98.0,97.0,70.0,100.0,
2018-19,31,IND,NBA,PG,4.0,4.0,117.0,0.422,0.441,0.364,0.467,1.0,0.504,0.133,0.244,92.0,85.0,102.0,89.0,130.0,90.0,52.0,68.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,40.0,16.0,931.0,0.436,0.461,0.333,0.469,0.835,0.525,0.304,0.197,95.0,94.0,93.0,93.0,110.0,97.0,109.0,69.0,
,,,,,,,,,,,,,,,,,,,,,,,,
IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),,27.0,16.0,682.0,0.454,0.472,0.392,0.498,0.808,0.536,0.227,0.223,99.0,95.0,110.0,98.0,106.0,99.0,83.0,76.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,13.0,0.0,249.0,0.389,0.436,0.083,0.394,0.867,0.501,0.5,0.133,86.0,89.0,23.0,79.0,115.0,93.0,176.0,51.0,
