"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Darren Collison,,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9,-0.1
CJ McCollum,93.6,7.6,6.6,6.0,5.9,5.6,4.7,4.3,4.1,3.6,1.8,0.2
Kyle Korver,91.1,6.6,6.4,5.9,5.3,5.1,4.6,4.6,4.2,3.7,2.6,1.0
Dick McGuire,90.7,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4.0,4.0,2.1,1.3
John Lucas,90.4,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.2,1.3,0.4
Vinnie Johnson,90.1,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.2,2.7,2.3,0.2
Michael Cooper,90.0,6.5,6.1,5.8,5.2,5.0,5.0,4.6,4.4,4.0,3.1,0.0
Nick Van Exel,89.9,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4.0,3.4,2.2,1.2
Antonio Daniels,89.8,6.8,6.6,5.9,5.8,5.3,4.5,4.3,3.6,2.3,1.8,-1.3
Alvin Robertson,89.0,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,
Norm Van Lier,89.0,7.7,7.7,6.0,5.6,5.5,5.2,3.8,3.2,2.1,1.1,
