"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Paul Reed,,5.1,2.8,1.6,1.3,0.6
KJ Martin,88.5,4.9,2.9,2.2,1.3,1.1
James Bailey,85.4,4.9,2.9,2.3,2.0,1.0
Cornell Warner,83.8,4.7,3.5,1.7,0.6,0.6
Donyell Marshall,83.7,4.2,3.0,1.3,1.3,0.3
Don Kojis,83.6,5.0,1.9,1.5,0.7,0.7
Etan Thomas,83.6,4.5,2.5,1.6,1.6,1.3
Allan Bristow,83.5,4.3,2.8,1.9,1.9,0.5
Larry Stewart,83.1,4.7,2.9,1.6,0.5,0.1
Alex Hannum,82.3,5.1,2.1,1.7,1.7,1.6
Derrick Jones Jr.,81.8,4.4,2.9,2.4,1.1,0.4
