"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Cedric Simmons,,0.3,0.0,-0.2,
Bill Franklin,10.1,0.3,0.1,-0.2,
Lazar Hayward,9.2,0.3,0.1,-0.1,
Eddie Mast,-17.0,0.4,0.1,-0.2,
Louis King,-23.1,0.3,0.1,0.0,0.0
Ignas Brazdeikis,-25.9,0.5,0.1,-0.1,
Scooter McCray,-26.8,0.3,0.1,0.0,
Pops Mensah-Bonsu,-27.2,0.3,0.0,0.0,0.0
Greg Brown III,-33.5,0.4,0.0,-0.1,
Jordan Mickey,-34.4,0.3,0.1,0.1,
Justin Reed,-36.6,0.4,0.3,-0.2,
