Season,Team,Lg,Salary
2009-10,Philadelphia 76ers,NBA,"$650,000"
2010-11,Philadelphia 76ers,NBA,"$762,195"
2011-12,Philadelphia 76ers,NBA,"$854,389"
2012-13,Los Angeles Lakers,NBA,"$1,500,000"
2013-14,Los Angeles Lakers,NBA,"$1,550,000"
2014-15,Detroit Pistons,NBA,"$6,000,000"
2015-16,Detroit Pistons,NBA,"$6,270,000"
2016-17,Orlando Magic,NBA,"$6,540,000"
2017-18,Washington Wizards,NBA,"$3,290,000"
2018-19,Milwaukee Bucks,NBA,"$3,454,500"
2018-19,Toronto Raptors,NBA,"$319,677"
Career,(may be incomplete),,"$31,190,761"
