"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Tyler Zeller,,6.5,2.9,2.6,2.0,1.7,1.0,0.3,0.0,,
Larry Krystkowiak,89.6,6.3,2.6,2.1,1.8,1.4,1.0,0.3,0.1,0.1,
Moritz Wagner,88.3,5.6,3.4,2.8,2.0,1.7,1.2,0.2,,,
Jim Baechtold,83.4,6.0,3.2,2.6,2.1,0.9,,,,,
Ron Franz,83.0,5.9,3.7,3.3,2.2,2.1,0.9,,,,
Tim Perry,82.6,5.7,2.6,2.0,1.4,1.4,1.2,0.3,-0.1,,
James Bailey,81.4,4.9,2.9,2.3,2.0,1.9,1.0,0.6,0.4,0.3,
Dario Å ariÄ,81.4,6.6,3.6,3.5,2.8,1.7,1.7,1.0,0.0,,
T.J. Warren,81.3,6.5,4.1,3.4,2.2,2.1,1.2,1.1,0.2,0.1,
Jason Maxiell,79.5,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2
Monk Meineke,79.2,6.1,3.7,2.6,1.8,0.7,,,,,
