"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Vernon Carey Jr.,,0.2,0.1,0.0,
Ruben Boumtje-Boumtje,64.7,0.2,0.0,0.0,
Joe Cooper,63.0,0.2,0.1,0.0,
Robert Werdann,57.4,0.2,0.0,-0.1,
Dan O'Sullivan,54.2,0.1,0.1,0.0,0.0
Mouhamed Sene,44.5,0.2,0.2,0.0,
Tom Riker,42.3,0.2,0.2,0.0,
Marques Bolden,30.7,0.3,0.0,0.0,
Rich King,21.8,0.2,0.1,0.0,-0.1
Gary Leonard,17.1,0.1,0.0,0.0,
Patrick O'Bryant,12.9,0.3,0.2,0.0,0.0
