"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Vernon Carey Jr.,,0.2,0.1,0.0
Ruben Boumtje-Boumtje,64.7,0.2,0.0,0.0
Joe Cooper,63.0,0.2,0.1,0.0
Dan O'Sullivan,60.7,0.1,0.1,0.0
Robert Werdann,57.4,0.2,0.0,-0.1
Rich King,50.6,0.2,0.1,0.0
Coby Dietrick,47.0,0.3,0.1,0.0
Mouhamed Sene,44.5,0.2,0.2,0.0
Tom Riker,42.3,0.2,0.2,0.0
Jerome Whitehead,39.3,0.2,0.2,0.1
Chris Engler,34.9,0.2,0.0,0.0
