"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Evan Fournier,,5.7,4.6,3.7,3.3,3.2,2.8,2.8,2.1,1.4,1.0,0.1,-0.1,,
Buddy Hield,90.2,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,,,,
Marco Belinelli,89.4,5.9,3.7,3.4,3.2,3.0,2.9,2.9,2.5,1.2,0.8,0.5,0.5,0.0,
John Long,89.1,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2.0,0.5,0.2,0.2,0.2,0.1
Bobby Jackson,89.0,5.5,5.4,3.5,3.1,3.1,3.0,2.5,2.2,1.4,1.2,1.2,-0.6,,
Ricky Sobers,88.9,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,,,
Norman Powell,88.7,5.3,4.7,4.6,4.1,3.5,2.8,2.8,2.4,1.6,0.6,,,,
Foots Walker,88.3,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,,,
Bob Weiss,87.2,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0.0,,
Eric Piatkowski,87.1,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9,0.1,0.1,0.0
Kevin Grevey,87.0,5.8,4.4,3.6,3.4,3.3,2.1,2.0,1.0,0.7,0.1,,,,
