Season,Team,Lg,Salary
2004-05,Portland Trail Blazers,NBA,"$1,559,280"
2005-06,Portland Trail Blazers,NBA,"$1,676,280"
2006-07,Boston Celtics,NBA,"$1,793,160"
2007-08,Minnesota Timberwolves,NBA,"$2,562,426"
2008-09,Minnesota Timberwolves,NBA,"$2,300,000"
2009-10,Cleveland Cavaliers,NBA,"$2,500,000"
2010-11,Minnesota Timberwolves,NBA,"$2,700,000"
2011-12,Phoenix Suns,NBA,"$1,500,000"
2012-13,Toronto Raptors,NBA,"$1,567,500"
2014-15,Oklahoma City Thunder,NBA,"$915,243"
Career,(may be incomplete),,"$19,073,889"
