Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2006-07,21,NOK,NBA,PF,43.0,4.0,534.0,55.0,132.0,0.417,0.0,0.0,55.0,132.0,0.417,0.417,16.0,33.0,0.485,44.0,63.0,107.0,12.0,8.0,23.0,22.0,75.0,126.0,0.0,
2007-08,22,2TM,NBA,PF,14.0,0.0,87.0,4.0,14.0,0.286,0.0,0.0,4.0,14.0,0.286,0.286,0.0,10.0,0.0,6.0,12.0,18.0,0.0,2.0,5.0,6.0,8.0,8.0,0.0,
2007-08,22,CLE,NBA,PF,7.0,0.0,68.0,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,0.0,8.0,0.0,5.0,10.0,15.0,0.0,2.0,5.0,4.0,7.0,4.0,0.0,
2007-08,22,CHI,NBA,PF,7.0,0.0,19.0,2.0,8.0,0.25,0.0,0.0,2.0,8.0,0.25,0.25,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,
2008-09,23,2TM,NBA,PF,18.0,0.0,84.0,11.0,25.0,0.44,0.0,0.0,11.0,25.0,0.44,0.44,7.0,16.0,0.438,5.0,11.0,16.0,2.0,1.0,4.0,2.0,8.0,29.0,0.0,
2008-09,23,CHI,NBA,PF,11.0,0.0,61.0,11.0,21.0,0.524,0.0,0.0,11.0,21.0,0.524,0.524,6.0,14.0,0.429,4.0,8.0,12.0,2.0,1.0,4.0,0.0,6.0,28.0,0.0,
2008-09,23,SAC,NBA,PF,7.0,0.0,23.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,75.0,4.0,705.0,70.0,171.0,0.409,0.0,0.0,70.0,171.0,0.409,0.409,23.0,59.0,0.39,55.0,86.0,141.0,14.0,11.0,32.0,30.0,91.0,163.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,4.0,771.0,77.0,187.0,0.409,0.0,0.0,77.0,187.0,0.409,0.409,25.0,65.0,0.39,60.0,94.0,154.0,15.0,12.0,35.0,33.0,99.0,178.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,18.0,0.0,80.0,13.0,29.0,0.448,0.0,0.0,13.0,29.0,0.448,0.448,6.0,16.0,0.375,5.0,10.0,15.0,2.0,1.0,4.0,2.0,7.0,32.0,0.0,
NOK (1 Yr),NOK (1 Yr),NOK (1 Yr),NOK (1 Yr),,43.0,4.0,534.0,55.0,132.0,0.417,0.0,0.0,55.0,132.0,0.417,0.417,16.0,33.0,0.485,44.0,63.0,107.0,12.0,8.0,23.0,22.0,75.0,126.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,7.0,0.0,68.0,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,0.0,8.0,0.0,5.0,10.0,15.0,0.0,2.0,5.0,4.0,7.0,4.0,0.0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,23.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,
