"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Sam Merrill,,3.3,2.8,0.5,0.2,0.0
Curly Armstrong,89.5,3.5,3.1,0.6,,
Terry Furlow,88.3,3.3,2.8,1.1,0.0,
Jacque Vaughn,86.6,3.5,3.0,0.4,0.1,-0.4
Ricky Davis,85.8,3.0,2.8,1.1,0.2,0.2
Ron Sobie,85.5,3.6,2.6,0.9,0.1,
Miles McBride,85.4,3.6,3.2,0.7,0.2,
Shammond Williams,85.4,3.1,2.9,1.2,0.2,0.0
Marco Belinelli,84.5,3.4,2.9,1.2,0.5,0.0
Shannon Brown,84.1,3.4,3.1,0.7,0.1,-0.5
Amir Coffey,83.5,3.8,2.6,0.7,0.4,0.1
