"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Chris Duhon,,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1.0,0.2
Matt Guokas,93.8,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5
Hubert Davis,91.7,5.6,4.8,4.2,3.4,2.5,2.2,1.6,1.2,0.1
Jodie Meeks,90.5,5.1,4.5,4.1,3.1,3.0,2.0,1.1,0.9,0.1
Bob Sura,90.4,5.2,4.9,4.6,4.1,1.8,1.6,0.7,0.4,0.1
Seth Curry,89.5,4.6,4.3,4.2,4.0,2.4,1.8,1.4,0.0,0.0
Quinn Buckner,88.8,5.4,4.6,4.4,3.2,2.0,1.6,1.5,1.3,0.5
Pooh Richardson,88.5,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2
D'Angelo Russell,88.3,5.1,5.1,5.0,4.4,1.8,1.6,1.3,0.4,0.0
Tyreke Evans,88.2,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7
Ricky Davis,87.6,5.7,5.0,4.4,4.2,3.0,2.8,1.1,0.2,0.2
