"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
MarJon Beauchamp,,0.7,0.4,0.1
Tyler Dorsey,90.0,0.6,0.4,0.1
Jared Butler,87.6,0.6,0.4,0.1
Greg Graham,87.3,0.8,0.3,0.1
Royal Ivey,86.5,0.7,0.3,0.2
Malik Monk,84.8,0.7,0.3,0.0
Shabazz Napier,83.9,0.6,0.5,0.1
Tracy Moore,83.0,0.6,0.5,0.1
Dylan Windler,82.9,0.8,0.5,0.0
Delaney Rudd,82.5,0.6,0.3,0.1
Jared Rhoden,80.8,0.6,0.3,0.1
