"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2015-16,22,DET,NBA,C,4.0,4.0,131.0,0.519,5.8,0.981,0.519,0.315,0.148,0.0,0.019,0.528,0.643,0.412,0.375,,0.0,0.607,0.093,5.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,25,DET,NBA,C,4.0,4.0,127.0,0.444,4.1,0.981,0.63,0.278,0.056,0.019,0.019,0.453,0.529,0.333,0.333,0.0,0.0,0.875,0.259,11.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,27,LAL,NBA,C,5.0,5.0,105.0,0.594,1.9,1.0,0.781,0.219,0.0,0.0,0.0,0.594,0.6,0.571,,,,0.579,0.188,5.0,,0.0,0.0,
2021-22,28,BRK,NBA,C,4.0,4.0,60.0,0.545,3.0,1.0,0.455,0.545,0.0,0.0,0.0,0.545,0.8,0.333,,,,0.5,0.273,2.0,,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,17.0,17.0,423.0,0.51,3.7,0.987,0.609,0.298,0.073,0.007,0.013,0.517,0.598,0.4,0.364,0.0,0.0,0.675,0.185,23.0,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2040.0,0.51,3.7,0.987,0.609,0.298,0.073,0.007,0.013,0.517,0.598,0.4,0.364,0.0,0.0,0.675,0.185,111.0,0.0,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),,8.0,8.0,258.0,0.481,4.9,0.981,0.574,0.296,0.102,0.009,0.019,0.491,0.581,0.375,0.364,0.0,0.0,0.731,0.176,16.0,0.0,1.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,5.0,5.0,105.0,0.594,1.9,1.0,0.781,0.219,0.0,0.0,0.0,0.594,0.6,0.571,,,,0.579,0.188,5.0,,0.0,0.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,4.0,4.0,60.0,0.545,3.0,1.0,0.455,0.545,0.0,0.0,0.0,0.545,0.8,0.333,,,,0.5,0.273,2.0,,0.0,0.0,
