Season,Team,Lg,Salary
2013-14,Atlanta Hawks,NBA,"$161,471"
2014-15,Atlanta Hawks,NBA,"$816,482"
2015-16,Atlanta Hawks,NBA,"$947,276"
2016-17,Atlanta Hawks,NBA,"$1,015,696"
2017-18,Atlanta Hawks,NBA,"$5,000,000"
2018-19,Los Angeles Lakers,NBA,"$5,000,000"
2019-20,Oklahoma City Thunder,NBA,"$2,028,594"
2020-21,Oklahoma City Thunder,NBA,"$2,283,034"
2021-22,Oklahoma City Thunder,NBA,"$3,500,000"
2022-23,Boston Celtics,NBA,"$3,500,000"
2023-24,Detroit Pistons,NBA,"$3,500,000"
2023-24,Oklahoma City Thunder,NBA,"$510,730"
Career,(may be incomplete),,"$28,263,283"
