"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Mike Muscala,,3.4,2.5,2.5,2.4,2.1,1.9,1.6,1.3,1.3,0.2,0.1,,
Omri Casspi,88.9,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,,,
Sidney Green,87.9,3.4,2.7,2.5,2.0,1.9,1.9,1.7,0.6,0.4,0.3,,,
Matt Bullard,87.8,3.4,2.6,2.5,2.4,1.8,1.7,1.0,0.6,0.5,0.2,0.1,,
Andrew DeClercq,84.7,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1.0,0.4,0.1,,,
Michael Curry,84.5,3.2,2.9,2.3,2.0,2.0,1.7,1.7,1.6,0.3,0.3,-0.2,,
Corie Blount,84.1,3.1,2.6,2.5,1.9,1.8,1.7,1.2,1.1,0.9,0.8,0.7,,
J.R. Reid,83.7,3.5,3.4,3.0,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1,,
Chucky Brown,83.4,4.2,2.2,2.2,2.1,1.6,1.6,1.6,1.4,1.3,0.4,0.3,0.1,0.0
Rasual Butler,83.2,4.6,2.7,2.6,2.6,1.7,1.7,1.6,1.3,1.2,1.1,0.1,-0.1,-0.2
Barry Clemens,82.8,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1,,
