"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Dominique Jones,,0.2,0.0,0.0
Manny Harris,83.1,0.3,0.0,0.0
R.J. Hunter,75.4,0.3,0.0,0.0
Willie Smith,74.1,0.3,0.0,0.0
Dwight Buycks,71.9,0.2,0.1,0.0
Gerald Madkins,66.8,0.3,0.1,0.0
Michael Hawkins,63.9,0.2,0.0,0.0
Jannero Pargo,63.1,0.2,0.1,0.1
Eddie Gill,51.4,0.3,0.1,0.0
Jamison Brewer,51.1,0.2,0.0,0.0
Lindell Wigginton,50.9,0.2,0.1,0.0
