"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
Al Jefferson,,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3,2.3,1.6,,,
Alvan Adams,89.6,7.7,7.6,7.2,7.2,7.0,6.8,6.5,6.3,4.9,3.9,3.3,2.8,2.2,,,,
Marcin Gortat,86.2,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1,,,,,
Elden Campbell,85.7,8.2,7.6,7.0,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,2.1,2.0,1.1,0.0,,
Zydrunas Ilgauskas,85.0,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5,,,,
Nate Thurmond,84.9,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4,2.3,,,
Andre Drummond,84.3,10.3,10.0,9.9,7.7,7.4,6.7,5.1,4.9,4.5,4.2,2.8,2.0,1.2,,,,
Billy Paultz,84.3,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.1,5.0,4.0,2.7,0.3,0.3,0.1,0.0,,
Brad Miller,84.2,10.0,9.6,9.1,8.6,8.3,6.5,5.1,4.0,3.8,3.4,3.0,2.7,2.1,0.2,,,
Marcus Camby,83.8,10.3,8.5,7.6,6.9,6.8,5.9,5.8,5.5,5.2,3.7,3.7,3.6,3.5,2.1,1.5,0.9,0.0
Nikola VuÄeviÄ,83.7,10.1,8.3,7.3,7.0,6.4,6.3,5.7,5.4,5.2,4.5,4.4,4.0,3.6,1.8,,,
