"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2008-09,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2009-10,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2010-11,24,2TM,NBA,C,41,8,595,.559,3.0,1.000,.775,.198,.018,.009,.000,.559,.628,.318,.000,1.000,.774,.216,24,0,0,
2010-11,24,BOS,NBA,C,37,7,531,.598,2.4,1.000,.814,.165,.010,.010,.000,.598,.658,.313,.000,1.000,.810,.247,24,0,0,
2010-11,24,CLE,NBA,C,4,1,64,.286,3.6,1.000,.500,.429,.071,.000,.000,.286,.286,.333,.000,,.250,.000,0,0,0,
2011-12,25,CLE,NBA,C,28,9,333,.527,2.9,1.000,.743,.216,.027,.014,.000,.527,.636,.188,.500,.000,.667,.189,12,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,69,17,928,.546,3.0,1.000,.762,.205,.022,.011,.000,.546,.631,.263,.250,.500,.733,.205,36,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,20,1103,.546,3.0,1.000,.762,.205,.022,.011,.000,.546,.631,.263,.250,.500,.733,.205,43,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),,32,10,397,.489,3.2,1.000,.705,.250,.034,.011,.000,.489,.597,.227,.333,.000,.628,.159,12,0,0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,37,7,531,.598,2.4,1.000,.814,.165,.010,.010,.000,.598,.658,.313,.000,1.000,.810,.247,24,0,0,
