Season,Team,Lg,Salary
2014-15,Detroit Pistons,NBA,"$700,000"
2015-16,Detroit Pistons,NBA,"$845,059"
2016-17,Brooklyn Nets,NBA,"$726,672"
2017-18,Brooklyn Nets,NBA,"$1,524,305"
2018-19,Brooklyn Nets,NBA,"$1,656,092"
2019-20,Brooklyn Nets,NBA,"$10,605,600"
2020-21,Brooklyn Nets,NBA,"$11,454,048"
2021-22,Dallas Mavericks,NBA,"$17,142,857"
2022-23,Brooklyn Nets,NBA,"$19,500,000"
2023-24,Toronto Raptors,NBA,"$20,357,143"
2023-24,Los Angeles Lakers,NBA,"$1,554,654"
2024-25,Dallas Mavericks,NBA,"$2,087,519"
Career,(may be incomplete),,"$88,153,949"
