"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Sasha VujaÄiÄ,,3.7,3.6,2.1,2.0,1.8,1.4,1.1,0.2,0.1,-0.1
Keyon Dooling,88.4,3.7,3.7,2.1,1.5,1.4,1.1,0.7,0.3,0.3,0.0
Dudley Bradley,87.3,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,
Jim King,87.1,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1
Rod Thorn,87.1,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,,
John Battle,85.7,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2
Tyronn Lue,85.6,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.4,0.3,0.2
Kenrich Williams,85.3,3.6,3.3,2.8,2.5,1.8,1.2,0.9,,,
Fatty Taylor,85.0,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4,,
Jacque Vaughn,84.8,3.5,3.0,2.0,1.8,1.7,1.5,0.4,0.1,0.0,-0.4
Frank Johnson,84.1,4.3,3.0,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5
