"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Darius Garland,,8.1,7.6,6.3,2.7,1.2,-1.3
Tyrese Maxey,84.5,8.1,7.3,5.4,3.8,1.9,
Ray Williams,83.7,8.2,7.9,7.2,3.9,1.0,0.9
Latrell Sprewell,82.9,8.1,8.0,5.5,4.0,2.0,0.4
Rickey Green,81.8,7.9,6.6,5.7,1.8,0.3,-0.1
Richard Hamilton,81.8,8.1,7.4,7.3,4.0,2.4,0.7
Anthony Edwards,81.0,8.4,7.5,4.3,3.8,0.8,
Lucius Allen,79.9,8.2,7.6,7.6,3.6,2.2,1.9
Dick Snyder,79.3,10.0,8.0,6.2,3.7,1.8,0.6
Micheal Williams,79.1,9.0,7.6,5.7,5.6,0.7,-0.2
Jon McGlocklin,78.8,8.9,8.2,7.9,1.8,1.1,0.9
