Date,Team,Unnamed: 2,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2025-11-22,MEM,@,DAL,"W, 102-96",,17,1,8,0.125,0,3,0.0,0,0,,2,5,7,0,0,0,1,2,2,-2.1,-12
2025-11-20,MEM,,SAC,"W, 137-96",,18,3,3,1.0,1,1,1.0,4,6,0.667,1,0,1,1,1,0,0,0,11,11.7,12
2025-11-12,MEM,@,BOS,"L, 95-131",,26,2,7,0.286,0,2,0.0,4,4,1.0,1,3,4,4,0,1,1,2,8,7.2,-11
2025-11-09,MEM,,OKC,"L, 100-114",,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1
2025-11-07,MEM,,DAL,"W, 118-104",,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
