0
"Nov 25, 2019 Player of the Week"
"Jan 11, 2021 Player of the Week"
"Apr 5, 2021 Player of the Week"
"Apr 26, 2021 Player of the Week"
"Feb 14, 2022 Player of the Week"
"Mar 14, 2022 Player of the Week"
"Apr 11, 2022 Player of the Week"
"Dec 26, 2022 Player of the Week"
"Jan 2, 2023 Player of the Week"
"Dec 18, 2023 Player of the Week"
"Feb 12, 2024 Player of the Week"
"Mar 11, 2024 Player of the Week"
"Apr 1, 2024 Player of the Week"
"Dec 9, 2024 Player of the Week"
